央视,#genre#
CCTV1,http://ik.kimkimkk.top:2222/rtp/239.0.1.3:8008

CCTV2,http://ik.kimkimkk.top:2222/rtp/239.0.1.4:8084

CCTV1,http://ik.kimkimkk.top:2222/rtp/239.0.1.65:8080

CCTV2,http://ik.kimkimkk.top:2222/rtp/239.0.1.66:8004

CCTV3,http://ik.kimkimkk.top:2222/rtp/239.0.1.103:5052

CCTV3,http://ik.kimkimkk.top:2222/rtp/239.0.1.177:6037

CCTV4,http://ik.kimkimkk.top:2222/rtp/239.0.1.67:8216

CCTV4,http://ik.kimkimkk.top:2222/rtp/239.0.1.180:6040

CCTV5,http://ik.kimkimkk.top:2222/rtp/239.0.1.104:5053

CCTV5,http://ik.kimkimkk.top:2222/rtp/239.0.1.175:6035

CCTV6,http://ik.kimkimkk.top:2222/rtp/239.0.1.105:5054

CCTV6,http://ik.kimkimkk.top:2222/rtp/239.0.1.176:6036

CCTV7,http://ik.kimkimkk.top:2222/rtp/239.0.1.68:8024

CCTV7,http://ik.kimkimkk.top:2222/rtp/239.0.1.96:8104

CCTV8,http://ik.kimkimkk.top:2222/rtp/239.0.1.106:5055

CCTV8,http://ik.kimkimkk.top:2222/rtp/239.0.1.174:6034

CCTV9,http://ik.kimkimkk.top:2222/rtp/239.0.1.69:8032

CCTV9,http://ik.kimkimkk.top:2222/rtp/239.0.1.97:8112

CCTV10,http://ik.kimkimkk.top:2222/rtp/239.0.1.70:8228

CCTV10,http://ik.kimkimkk.top:2222/rtp/239.0.1.98:8116

CCTV11,http://ik.kimkimkk.top:2222/rtp/239.0.1.71:5400

CCTV12,http://ik.kimkimkk.top:2222/rtp/239.0.1.72:8232

CCTV12,http://ik.kimkimkk.top:2222/rtp/239.0.1.99:8124

CCTV13,http://ik.kimkimkk.top:2222/rtp/239.0.1.73:8264

CCTV14,http://ik.kimkimkk.top:2222/rtp/239.0.1.74:8236

CCTV14,http://ik.kimkimkk.top:2222/rtp/239.0.1.100:8132

CCTV15,http://ik.kimkimkk.top:2222/rtp/239.0.1.75:8052

CCTV17,http://ik.kimkimkk.top:2222/rtp/239.0.1.192:9264
卫视,#genre#
吉林卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.245:5183

江西卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.244:5166

河北卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.243:8072

福建东南卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.241:5109

东南卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.26:8112

东方卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.10:8192

东方卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.82:8032

云南卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.23:8108

兵团卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.38:4120

内蒙古卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.31:8176

北京卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.12:8240

北京卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.83:8024

厦门卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.46:4120

吉林卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.28:8200

四川卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.21:8288

四川卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.87:5095

天津卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.13:8144

天津卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.89:1234

宁夏卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.34:8124

安徽卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.11:8272

安徽卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.81:8064

山东卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.14:8148

山东卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.90:8052

山西卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.30:8172

广西卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.27:8300

新疆卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.36:8160

旅游卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.33:8304

江苏卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.80:8028

江西卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.15:8280

河北卫视,http://ik.kimkimkk.top:2222/rtp/239.0.1.25:8292

